name,area,totalRatingsString,deliveryTime,address,locality,cuisines,costForTwoString,,,
VEG FOOD CORNER,Lake Town,Too Few Ratings,67,170 S K DEB ROAD SOUTH DUM DUM ; WARD NO-17; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal - 700048,Lake Town,['Indian' 'Fast Food' 'Chinese'],₹200 FOR TWO,,,
VEG HOMELY THALI,Lake Town,20+ ratings,63,170 S K DEB ROAD SOUTH DUM DUM ; WARD NO-17; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal - 700048,Lake Town,['North Indian'],₹200 FOR TWO,,,
Anand Food Plaza,Lake Town,100+ ratings,64,41;Bangur Road Avenue; Block-C; Kol-700055,Block C, Bangur, Lake Town,['North Indian' 'South Indian'],₹200 FOR TWO,
Buddy's Yard Cafe,Newtown,20+ ratings,50,Shop 304; 3rd Floor; Axis Mall; New Town; Kolkata,Axis Mall, 3rd Floor,['Italian' 'Fast Food'],₹250 FOR TWO,,
Natural Ice Cream,Newtown,50+ ratings,45,UNIT NO 220; 2ND FLOOR; ACTION AREA 1B; NEW TOWN; KOLKATA 700156,NEW TOWN,['Ice Cream'],₹150 FOR TWO,,,
47 South Tangra Road,Newtown,100+ ratings,54,4th Floor; Axis Mall; Block CS; Major Arterial Road; Rajarhat New Town; Kolkata,Inside Axis Mall,['Chinese' 'Tibetan'],₹500 FOR TWO,,,
The Perfect Blend,Lake Town,50+ ratings,50,4; Block B; Lake Town; Kolkata-89; Near Sharma Snacks.,Lake Town,['Beverages' 'Desserts'],₹300 FOR TWO,,,
BHOLA LITTI CHOKA WALA,Lake Town,Too Few Ratings,63,170 S K DEB ROAD SOUTH DUM DUM ; WARD NO-17; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal - 700048,Lake Town,['Fast Food' 'Snacks' 'Italian' 'Chinese' 'Thalis'],₹200 FOR TWO,,,
Kusum's Kitchen,Lake Town,20+ ratings,65,Shalini Diwan; 30; S. K. Deb Road; Near Nautun Pally Shiv Mandir; Kolkata;North Twenty Four Parganas;West Bengal - 700048,Lake Town,['Indian'],₹400 FOR TWO,,,
Juice Station,Kestopur,20+ ratings,65,AD-76; Samar Dey Sarani Road; Kestopur 3no Camp; Kolkata - 700102,Lake Town,['Beverages' 'Juices' 'Healthy Food' 'Desserts'],₹200 FOR TWO,,,
Bombay Sandwich,Lake Town,Too Few Ratings,64,170 S K DEB ROAD SOUTH DUM  DUM ; SOUTH DUM DUM  MUNICIPALITY; North Twenty Four  Parganas; ; West Bengal; 700048,Lake Town,['Snacks' 'Pizzas' 'Fast Food' 'North Indian' 'Combo' 'Beverages'],₹200 FOR TWO,,,
The Combo King,Lake Town,Too Few Ratings,64,170 S K DEB ROAD SOUTH DUM  DUM ; SOUTH DUM DUM  MUNICIPALITY; North Twenty Four  Parganas; ; West Bengal; 700048,Lake Town,['Chinese' 'North Indian'],₹200 FOR TWO,,,
Diwan Food Court,Lake Town,Too Few Ratings,68,318; S.K.DEB ROAD; LAKE TOWN; KOLKATA; - 48;WORD 31; District - North Twenty Four Parganas; STATE - West Bengal,Lake Town,['North Indian'],₹300 FOR TWO,,,
Aatithya,Lake Town,Too Few Ratings,61,P-248 Lake Town; Block B; Lake Town; Kolkata-700089,Near third park,['Chinese' 'Bengali'],₹400 FOR TWO,₹400 FOR TWO,,
CALCATIAN,Rajarhat,Too Few Ratings,56,Ground Floor; AB-144; Street No.96; Action area 1; New Town; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal-700156,Rajarhat,['North Indian' 'Snacks'],₹300 FOR TWO,,,
Calcutta Bistro - New Town,Newtown,100+ ratings,57,2nd Floor; The Galleria; Near Home Town; New Town; Kolkata,Near Home Town,['Indian' 'Chinese' 'Continental'],₹1100 FOR TWO,,,
MBA chaiwala (Gupta Foodeez),Lake Town,20+ ratings,56,P-56 ; BLOCK-B; LAKETOWN; WARD NO-30; North Twenty Four Parganas - 700089,Lake Town,['Beverages' 'Fast Food' 'Italian'],₹200 FOR TWO,,,
Hunger Hop,Patipukur,20+ ratings,67,30; s.k. deb road lake town ,s.k. deb road lake town,['Fast Food' 'North Indian' 'South Indian' 'Snacks' 'Chinese'],₹200 FOR TWO,,,
MOMO QUEEN,Lake Town,Too Few Ratings,57,104/A;BLOCK-B;LAKETOWN; WARD NO-30;  SOUTH DUM DUM MUNICIPALITY; North  Twenty Four Parganas; West Bengal -  700089,Lake Town,['Chinese' 'Pizzas' 'Fast Food' 'Snacks'],₹200 FOR TWO,,,
HAKKA HUAN,Rajarhat,Too Few Ratings,55,Ground floor; AB144; street no. 96; Action area 1; New Town; Kolkata 700156,Rajarhat,['Chinese' 'Thai'],₹350 FOR TWO,,,
Paul's Kitchen,Lake Town,Too Few Ratings,57,241 S.K Deb Road; Lake Town; South Dumdum; West Bengal 700048; India,Lake Town,['Chinese' 'Biryani' 'Snacks'],₹150 FOR TWO,,,
Veg Dhaba,Lake Town,500+ ratings,54,Block D; 55 Bangur Avenue; Kolkata - 700055,Bangur Avenue,['North Indian' 'Indian' 'Chinese' 'Healthy Food'],₹100 FOR TWO,,,
SLAY Coffee,Salt Lake,50+ ratings,55,UNIT NO 220; 2ND FLOOR; ACTION AREA 1B; NEW TOWN; KOLKATA 700156,NEW TOWN,['Beverages' 'Desserts'],₹200 FOR TWO,,,
PITHE GHOR,Newtown,50+ ratings,64,Axis Mall; Major Arterial Road(South-East); CF Block(Newtown); Action Area I; Newtown; Kolkata; West Bengal; India,Salt Lake,['Snacks'],₹600 FOR TWO,,,
Country Roads,Newtown,20+ ratings,54,Plot No - BG-8; Action Area 1B; 2nd Floor; New Town; Kolkata.,Inside DLF Galleria,['Indian' 'Continental'],₹1000 FOR TWO,,,
The Red Asian,Lake Town,100+ ratings,55,P-110/2 BANGUR AVENUE; BLOCK-C; KOLKATA-700055; WARD NO-29;North Twenty Four Parganas- 700055,BANGUR AVENUE,['Chinese' 'Continental' 'Snacks' 'Pastas' 'North Indian' 'Indian'],₹300 FOR TWO,,,
Aaheli,Salt Lake,Too Few Ratings,56,4th Floor; Axis Mall; 106; Block CS; Major Arterial Road; Rajarhat New Town; Kolkata,Axis Mall,['Bengali'],₹2500 FOR TWO,,,
Artasia Biryani,Tangra,Too Few Ratings,59,SEC-B; D-102; 4TH FLOOR CANAL SOUTH ROAD; DAKSHINEE CO. HO. SO. LTD.; METROPOLITAN  KOLKATA - 700105; BOROUGH- VII; KOLKATA MUNICIPAL CORPORATION; Kolkata; West Bengal - 700105,Tangra,['Biryani' 'Tandoor' 'North Indian'],₹250 FOR TWO,,,
MOTI MAHAL DELUX,Tangra,Too Few Ratings,56,SEC-B; D-102; 4TH FLOOR CANAL SOUTH ROAD; DAKSHINEE CO. HO. SO. LTD.; METROPOLITAN  KOLKATA - 700105; BOROUGH- VII; KOLKATA MUNICIPAL CORPORATION; Kolkata; West Bengal - 700105524295,Tangra,['North Indian'],₹300 FOR TWO,,,
Urban Bites,Dumdum lake town,Too Few Ratings,57, 170 S K DEB ROAD SOUTH DUM DUM ; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; ; West Bengal; 700048,Dumdum,['North Indian'],₹200 FOR TWO,,,
Chinawall,Tangra,Too Few Ratings,63,SECB D 102 4TH FLOOR CANAL SOUTH ROAD  DAKSHINEE CO  HO  SO  LTD  METROPOLITAN   KOLKATA  700105  BOROUGH  VII  KOLKATA MUNICIPAL CORPORATION  Kolkata  West Bengal   700105,Tangra,['Chinese' 'Thai'],₹350 FOR TWO,,,
PEPPERZ,Lake Town,50+ ratings,60,P-23 BANGUR AVENUE; BLOCK-C ; KOLKATA- 700055; SOUTH DUM DUM MUNICIPALITY; NORTH TWENTY FOUR PARGANAS (WB)- 700055,Lake Town,['Indian' 'Juices'],₹200 FOR TWO,,,
MISHRA'S DLF NEWTOWN,Newtown,Too Few Ratings,58,BG BLOCK DLF galleria; Newtown;2nd floor action area - 1B KOLKATA- 700156,Salt Lake,['Indian' 'Mughlai' 'Chinese'],₹300 FOR TWO,,,
Food Neest,Bidhannagar,Too Few Ratings,55,Thakdari Neye Para; Post Office- Krishnapur; Police Station- New Town; Kolkata; ward No-27; Bidhannagar- Rajarhat Municipal Corporation; North 24 Pargana; West Bengal; 700102.,Salt Lake,['Indian' 'Tandoor' 'Chinese'],₹300 FOR TWO,,,
Tiffin Wala,Lake Town,Too Few Ratings,57,DAG No - 4036; Khatian no - 1482; 116/98/99; Krishnapur; Christian Para Near Yubak Samiti; Rajarhat Municipal Corporation; North 24 parganas; West Bengal - 700102,Lake Town,['North Indian' 'Combo'],₹200 FOR TWO,,,
German Cafe & Bistro,Salt Lake,Too Few Ratings,58,Ground Floor; Axis mall; CF - 9; Sub-Central Business District(Action Area 1); Action Area I; Newtown; Kolkata; West Bengal 700156; India,Salt Lake,['Chinese'],₹600 FOR TWO,,,
Aaheli Xpress,Salt Lake,Too Few Ratings,56,4th Floor; Axis Mall; 106; Block CS; Major Arterial Road; New Town; Kolkata,Axis Mall,['Bengali'],₹500 FOR TWO,,,
Ena's Bistro,Salt Lake,Too Few Ratings,55,5/H/1;GAGAN SARCAR ROAD; BOROUGHIII; KOLKATA MUNICIPAL CORPORATION; Kolkata; West Bengal -,Salt Lake,['Continental' 'Snacks' 'Chinese'],₹250 FOR TWO,,,
D-ROYALITA RESTAURANT & CAFE,Salt Lake,Too Few Ratings,50,DLF GALLERIA BUILDING; DGK-021;GROUND FLOOR Block AF 8; MAR (SE Extention); Sub-Central Business District(Action Area 1); Action Area I; Newtown; Kolkata; West Bengal 700156; India,Salt Lake,['Salads' 'Chinese'],₹400 FOR TWO,,,
Nueva Town,Rajarhat,Too Few Ratings,54,Premises no. : 02-0124; Plot No. : BG/8; Shop No. DGK137;The Galleria; DLF; Action Area-1B; Newtown;; MAHISBATHAN-II; RAJARHAT; North Twenty Four Parganas; West Bengal - 700156,Rajarhat,['Beverages' 'American' 'Pizzas' 'Snacks'],₹649 FOR TWO,,,
Bite Junction,Newtown,Too Few Ratings,51,Axis Mall; Ground Floor; CF-9; Action Area 1; New Town; Rajarhat; Kolkata -700156Action Area 1C; Bidhannagar; North 24 Parganas,Axismall,Newtown,['Snacks' 'Fast Food'],₹300 FOR TWO,,
Ahare,Kestopur,50+ ratings,59,RGM-4; Siddharta Nagar coloney; Kestopur Kolkata - 102;Kolkata;700102,Siddharta Nagar coloney, Kestopur,['Indian' 'Chinese'],₹100 FOR TWO,,
Firangi Madras,Lake Town,100+ ratings,54,22; Bangur Avenue; Block C; Kolkata - 700055,Near Go Foodiezz,['South Indian'],₹350 FOR TWO,,,
DELICIOUS STORIES,Newtown Kolkata,Too Few Ratings,51,CA123; Street CA203; New town; Action area 1; RAJARHAT BISHNUPUR-I; RAJARHAT; North Twenty Four Parganas; West Bengal - 700156,Salt Lake,['Biryani'],₹300 FOR TWO,,,
Bangaliyna,Kestopur,500+ ratings,52,BH- 6; Kestopur hanapara ( nea life care medical hall) ,Kestopur,['North Indian' 'Chinese' 'Biryani' 'Bengali'],₹200 FOR TWO,,,
Veg Cafe,Lake Town,50+ ratings,54,22; Bangur Avenue; Block-C; Bangur; Kolkata,Opposite Pepperz bangur,['Italian' 'American' 'Mexican'],₹100 FOR TWO,,,
Kolkata Haji biryani house,Kestopur,20+ ratings,50,Kolkata Haji biryani house ;4 No KRISHNAPUR Ghosh para Milan bazar Kestopur Kolkata- 700102,Lake Town,['Mughlai' 'Biryani'],₹150 FOR TWO,,,
Te y mas,Lake Town,20+ ratings,61,Shop No. 129; Jaya Cinema; Lake Town Rd; Block A; Lake Town; Kolkata; West Bengal 700089; India,Lake Town,['Chinese'],₹250 FOR TWO,,,
GUPTA KITCHEN AND SANDWICH,Dumdum,Too Few Ratings,57,Ep/61/B p.c gosh road Lake town Balo  bhasha; WARD NO-17; SOUTH DUM DUM  MUNICIPALITY; North Twenty Four  Parganas; West Bengal - 700048,Dumdum,['Chinese' 'Thalis'],₹400 FOR TWO,,,
Food 4 Foodies,Lake Town,Too Few Ratings,57,3 no camp; Krishnapur Main Rd; Samarpally; Krishnapur; Kestopur; Kolkata; West Bengal 700102; India,Lake Town,['Pizzas' 'Fast Food' 'Snacks'],₹150 FOR TWO,,,
Noodle Oodle,Salt Lake,Too Few Ratings,49,2/1; CHINAR PARK; KOLKATA -700157;MAHISBATHAN-II; RAJARHAT; North Twenty Four Parganas; West Bengal -700157,Salt Lake,['Chinese' 'Indian' 'American' 'Pizzas'],₹300 FOR TWO,,,
MOMS MAGIC,Kestopur,Too Few Ratings,54,no.275;chandiberia; north 24 parganas; kolkata; pincode- 700102; ward no .22; WARD NO-22; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Kestopur,['Bakery' 'Snacks'],₹500 FOR TWO,,,
Arsalan Jessore Road,Near Shelly Cinema Hall,1000+ ratings,51,123;Bangur Avenue; Near Shelly Cinema Hall; Bangur; Kolkata,Near Shelly Cinema Hall,['Biryani' 'Mughlai' 'North Indian' 'Indian' 'Kebabs' 'Tandoor' 'Awadhi'],₹500 FOR TWO,,,
SRI VELAN SOUTH INDIAN FOOD,Bangur,Too Few Ratings,65,106;bangur avanue ; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; ; West Bengal; 700055,Dumdum,['South Indian'],₹250 FOR TWO,,,
THE RASOEE,Lake Town,Too Few Ratings,54,P-777; Block E; Lake Town; Kolkata; West Bengal 700089; India,Lake Town,['Chinese'],₹250 FOR TWO,,,
Sendha Namak,Lake Town,100+ ratings,69,Bangur Avenue; Block C; Bangur; Lake Town; Kolkata; West Bengal; India,Lake Town,['Healthy Food' 'Juices' 'Beverages' 'Snacks'],₹200 FOR TWO,,,
Chennai Xpress,Lake Town,1000+ ratings,52,Mother Diary  P 104  Sundari Villa  Bangur Ave  Block A  Opp  Kolkata  West Bengal 700055,Near HDFC Bank,['South Indian' 'North Indian' 'Chinese' 'Beverages'],₹300 FOR TWO,,,
The Bawarchi Restaurant,Kestopur,20+ ratings,57,AB-375; SAMARPALLY; GROUND FLOOR; KRISHNAPUR; P.O- MILAN BAZAR; P.SBAGUIATI; KOLKATA; WARD NO-25; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Kestopur,['North Indian' 'Indian' 'Chinese' 'Seafood' 'Snacks'],₹300 FOR TWO,,,
FOOD BOUTIQUE,Rajarhat,Too Few Ratings,56,Ground Floor; Premises No- 16-199; Plot No- 52; CA Block; Street No- 199; Action Area-I;North Twenty Four Parganas- 700156,Rajarhat,['Italian-American' 'Chinese' 'Fast Food' 'Snacks' 'Beverages'],₹300 FOR TWO,,,
Bachalor's Cafe,Kestopur,Too Few Ratings,51,Siddhartha Nagar krishnapur; WARD  NO-14; BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North Twenty  Four Parganas; West Bengal - 700102,Kestopur,['Beverages' 'Chinese'],₹300 FOR TWO,,,
KRISHNA FOOD,lake town,100+ ratings,47,161; LAKE TOWN; BLOCK- A; SHOP- 2; WARD- 30; WARD NO-30; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal - 700089,Lake Town,['Paan' 'Sweets' 'Fast Food'],₹200 FOR TWO,,,
iFit,Kestopur,100+ ratings,53,Shop 1; Bhawani Complex; Baroaritala; Kestopur; Kolkata,Shop 1, Bhawani Complex, Baroaritala, Kestopur,['Chinese' 'Beverages' 'Snacks' 'Biryani'],₹300 FOR TWO
Kitchen King,Kestopur,100+ ratings,59,keshtopur;barwaritala;bhawani complex,keshtopur,['Chinese' 'Indian' 'Biryani'],₹300 FOR TWO,,,
SPICE RICE,Kestopur,500+ ratings,58,BH-6; KESTOPUR HANAPARA; KOLKATA-700102; District - North Twenty Four Parganas; STATE - West Bengal - 700102,Lake Town,['Chinese' 'Indian'],₹400 FOR TWO,,,
The Crabberia,Smarpally kestopur,20+ ratings,75,Ground floor Bc-64 heaven residency; Samarpally; Kestopur; Kolkata; West Bengal 700102; India,Salt Lake,['Seafood' 'Chinese'],₹500 FOR TWO,,,
DAWAT RESTAURANT (TARAMAYEE HOTEL),Lake Town,Too Few Ratings,66,1897; 141; BANGUR AVENUE BLOCK-A; KOLKATA; WARD NO-29;North Twenty Four Parganas- 700055,Lake Town,['Indian' 'Chinese'],₹400 FOR TWO,,,
The magic express,Lake Town,Too Few Ratings,65,P-101; Block C; Bangur; Lake Town; Kolkata; West Bengal 700055; India,Lake Town,['North Indian' 'Chinese' 'Snacks' 'Beverages' 'Desserts'],₹300 FOR TWO,,,
Fries Before Guys,Lake Town,20+ ratings,63,106; BANGUR AVENUE; BLOCK D; WARD NO-29; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal - 700055,Lake Town,['Beverages'],₹200 FOR TWO,,,
DAWAT BIRIYANI BANGUR(TARAMAYEE HOTEL),Lake Town,Too Few Ratings,57,1897; 141; BANGUR AVENUE BLOCK-A; KOLKATA; WARD NO-29;North Twenty Four Parganas- 700055,Lake Town,['North Indian' 'Kebabs' 'Chinese'],₹300 FOR TWO,,,
BHUKKA SHER,Kestopur,Too Few Ratings,51,Krishnapur; Kestopur; Kolkata-700102,Kestopur,['Indian'],₹250 FOR TWO,,,
SHAKE BUS,Rajarhat,Too Few Ratings,50,A-1; Jeevan Joti Apartment; Ground Floor; Block-D; Pin - 700055; WARD NO-29; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal - 700055,Rajarhat,['Beverages'],₹200 FOR TWO,,,
TEA BAE,Lake Town,Too Few Ratings,59,23; Bangur Ave; Block C; Bangur; Lake Town; Kolkata; West Bengal 700055; India,Lake Town,['Snacks' 'Fast Food'],₹300 FOR TWO,,,
BALLE BALLLE,Kestopur,Too Few Ratings,51,KRISHNAPUR ;KESTOPUR;KOLKATA;WEST BENGAL 700102;WARD NO-31;BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATIO;NORTH TWENTY FOUR PARGANAS;WEST BENGAL-700102,Kestopur,['Snacks'],₹200 FOR TWO,,,
Foodusion,Lake Town,Too Few Ratings,57,P-159 Block A; Lake Town; Kolkata; West Bengal 700089; India,Lake Town,['Chinese' 'Fast Food' 'Kebabs' 'Snacks' 'Beverages'],₹200 FOR TWO,,,
Hungry kya,Kestopur,Too Few Ratings,62,Siddhartha Nagar;Krishnapur main Road;Samar pally;P.O-Krishnapur;Kolkata-700102,Salt Lake,['Chinese' 'Biryani' 'Fast Food'],₹200 FOR TWO,,,
Krazzy for Ice Cream Sundae,Lake Town,20+ ratings,61,Shop No.11 Bangur Super Market Block; Kol- 700055,Lake Town,['Ice Cream'],₹200 FOR TWO,,,
Soni's veg,Lake Town,Too Few Ratings,57,P-101; Block C; Bangur; Lake Town; Kolkata; West Bengal 700055; India,Lake Town,['Chinese' 'Indian' 'Tandoor'],₹400 FOR TWO,,,
De Lasanis,Lake Town,Too Few Ratings,60,68/3/1 BANGUR AVENUE BLOC D;WARD NO -29;SOUTH DUM DUM MUNICIPALITY ;NORTH TWENTY FOUR PARAGANAS ;WEST BENGAL 700055,Lake Town,['Pastas' 'Italian' 'Fast Food'],₹300 FOR TWO,,,
Wok N Oven,Bangur Avenue,Too Few Ratings,70,68/3/1 Bangur Avenue Block D Kolkata 700055,Bangur Avenue,['Chinese' 'Continental'],₹400 FOR TWO,,,
Chakle!,Lake Town,20+ ratings,61,AH-51 Ganapati park; kriahnapur; ghoshpara; 16feet road kolkata 700102;,Lake Town,['Chinese' 'North Indian' 'Snacks' 'Biryani'],₹300 FOR TWO,,,
CAFE FOOD TERRITORY,Kestopur,Too Few Ratings,53,RGM/16/336; BC-18 SAMAPALLY KRISHNAPUR KOLKATA; WARD NO-16; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Kestopur,['Pizzas' 'Fast Food' 'Beverages' 'Snacks'],₹350 FOR TWO,,,
BBC,Lake Town,Too Few Ratings,60,BC 18; Samar Pally Rd; Samarpally; Krishnapur; Kestopur; Kolkata; West Bengal 700102; India,Lake Town,['Biryani' 'Tandoor'],₹250 FOR TWO,,,
ANNAPURNA PURE VEG FOOD,Lake Town,50+ ratings,64,334; Jessore Road ; Kalindi ; Ward No - 19; South Dum Dum Municipality ; North Twenty Four Parganas; West Bengal 700089,Lake Town,['South Indian' 'Indian'],₹300 FOR TWO,,,
READY 2 SERVE,Newtown,100+ ratings,53,CB -16; street no - 254; Action Area 1,NEWTOWN ACTION AREA 1,['Chinese' 'Indian' 'Biryani' 'Tandoor'],₹350 FOR TWO,,,
CRAZY CHAAP CORNER,Lake Town,Too Few Ratings,66,68; 3/1; Bangur Ave; Block D; Bangur; Lake Town; Kolkata; West Bengal 700055; India,Lake Town,['Tandoor' 'Chinese' 'Beverages'],₹300 FOR TWO,,,
SGF - Spice Grill Flame,Lake Town,100+ ratings,60,68/3/1 Bangur Avenue Block D Kolkata 700055 Locality & Area: Bangur Avenue,Lake Town,['North Indian' 'Chinese'],₹250 FOR TWO,,,
Naan Meri Jaan,Bangur Avenue,Too Few Ratings,61,68/3/1 BANGUR AVENUE BLOCK D; WARD NO-29; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal - 700055,Bangur Avenue,['Indian'],₹300 FOR TWO,,,
Fairfield by Marriott,Newtown,20+ ratings,69,CB 218; CB Block(Newtown); Action Area 1C; Newtown; Kolkata; West Bengal 700156,Newtown,['Indian' 'Continental'],₹1000 FOR TWO,,,
THE FOOD BAR,Lake Town,Too Few Ratings,65,204; LAKE TOWN; BLOCK- A; SHOP NO- 2; NEAR MILAN SANGHA; KOLKATA-700089,Lake Town,['North Indian' 'Chinese' 'Snacks'],₹300 FOR TWO,,,
Gupta's Veg,Kolkata,1000+ ratings,68,BC 1; V.I.P. Crossing; Prafulla Kanan; Kestopur; Kolkata,Near kestopur crossing,['North Indian' 'Chinese' 'Tandoor'],₹200 FOR TWO,,,
Kasturi Restaurant,Nagerbazar,1000+ ratings,70,1; Nayapatty Road; Jessore Road; Kolkata-700055,Near Diamond Plaza mall,['Bengali' 'Thalis' 'Desserts'],₹400 FOR TWO,,,
The Better Half,Bangur Avenue,Too Few Ratings,62,68/3/1 BANGUR AVENUE BLOCK D; WARD NO-29; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal - 700055,Bangur Avenue,['Indian' 'Chinese' 'Beverages'],₹300 FOR TWO,,,
The Better Half,Bangur Avenue,Too Few Ratings,61,68/3/1 BANGUR AVENUE BLOCK D; WARD NO-29; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal - 700055,Bangur Avenue,['Indian' 'Chinese' 'Beverages'],₹300 FOR TWO,,,
Up's and down,Lake Town,Too Few Ratings,67,101;Block-A; Bangur Ave; Block C; Bangur; Lake Town; Kolkata; West Bengal 700055; India,Lake Town,['North Indian' 'Tandoor' 'Biryani'],₹300 FOR TWO,,,
Crazy Cassoulet,Salt Lake,100+ ratings,65,AF-228; Rabindrapalli; Krishnapur; Kestopur; Kolkata; West Bengal 700101; India,Salt Lake,['Chinese' 'Fast Food' 'Combo' 'Snacks' 'Beverages'],₹400 FOR TWO,,,
Souvlakia India,Newtown,Too Few Ratings,61,Street No. 109; BB Block(Newtown); Action Area 1B; Newtown; Kolkata; West Bengal 700156; India,Newtown,['North Indian' 'Chinese' 'Snacks'],₹500 FOR TWO,,,
JW Kitchen,Tangra,20+ ratings,84,4; JBS Haldane Ave; Park Circus; Beniapukur; Kolkata; West Bengal 700017,Tangra EM Bypass,['Indian' 'Pan-Asian' 'Italian' 'Continental'],₹1000 FOR TWO,,,
DADA BHAI BHOJHANALAYA,Kestopur,Too Few Ratings,54,AB-46; SAMAR PALLY (S); KRISHNAPUR; POMILAN BAZAR; WARD NO-16; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Kestopur,['Biryani' 'Chinese'],₹200 FOR TWO,,,
Aminia - Jessore Road,South Dumdum,1000+ ratings,54,166; Near Diamond Plaza Mall; Jessore Road; Kolkata,Jessore Road,['Biryani' 'Mughlai' 'North Indian' 'Indian' 'Kebabs' 'Tandoor'],₹500 FOR TWO,,,
Sigree Global Grill,Tangra,Too Few Ratings,75,1st Floor; Silver Spring Arcade; EM Bypass; Science City Area; Kolkata,Science City Area,['North Indian' 'Biryani'],₹700 FOR TWO,,,
hii foodies,Kestopur,Too Few Ratings,54,BC Rd; Samarpally; Krishnapur; Kestopur; Kolkata; West Bengal 700102; India,Lake Town,['Chinese' 'Italian' 'Fast Food' 'Snacks'],₹250 FOR TWO,,,
The Foodieez,Kestopur,Too Few Ratings,53,ASHA GREEN;1; SHOP-1; MAJHERPARA; KESTOPUR; KOLKATA-700102,MAJHERPARA,['Indian' 'Chinese' 'Tandoor' 'Thai'],₹300 FOR TWO,,,
D Chef Kitchen,Kestopur,Too Few Ratings,63,Shop no 3; Ganpati park; AH 51; Block D;  Krishnapur; PS Baguiati; Kolkata; WARD  NO-25; BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North Twenty  Four Parganas; West Bengal - 700102,Kestopur,['Chinese' 'North Indian' 'Snacks' 'Biryani' 'Combo' 'Tandoor'],₹300 FOR TWO,,,
Magnum,Kestopur,1000+ ratings,57,AC-93A; Shop no1; Prafulla Kana; East VIP Road; Kestopur; Kolkata-700101,Near Reebok showroom,['Chinese' 'Indian' 'Snacks' 'Tandoor'],₹300 FOR TWO,,,
HIM CREAM ,Lake Town,Too Few Ratings,49,271/283/2; Bangur Avenue; Block - B; Lake Town; Kolkata; West Bengal 700055,Lake Town,['Ice Cream'],₹100 FOR TWO,,,
New Arsalan Biryani House,Kestopur,100+ ratings,47,BG 31; Tara Bhawan; Hanapara; Krishnapur; Kestopur; Kolkata,HANAPARA,['Biryani' 'North Indian'],₹300 FOR TWO,,,
Swadist Aahar,OPP OF UNITECH GATE 1,100+ ratings,100+ ratings,56,SHOPNO A39;NKDA MARKET;OPP OF UNITECH GATE 1; NEWTOWN;KOL-156,NEWTOWN,['Thalis' 'Biryani' 'Chinese'],₹150 FOR TWO,,
Farm To Table (New Town Dairy Farm LLP),Sector V Salt Lake,Too Few Ratings,67,90 b doctor sudhir Bose road; gr floor ward no -77 borough-IX; Kolkata municipal corporation; Kolkata West Bengal -700023,Sector V Salt Lake,['Indian' 'Chinese' 'Tandoor' 'Fast Food' 'Beverages'],₹200 FOR TWO,,,
Steam Snacks Bar,Newtown,100+ ratings,51,Steam Snacks Bar; Street Number 233; CC Block(Newtown); Action Area I; Newtown; Kolkata; West Bengal; India,Rajarhat,['Indian' 'South Indian' 'Chinese' 'Continental'],₹200 FOR TWO,,,
SnackVille,Lake Town,Too Few Ratings,53,P-22; Bangur; Lake Town; Kolkata; West Bengal 700055; India,Lake Town,['Sweets' 'Snacks'],₹150 FOR TWO,,,
RIDDHI SHIDDHI,Lake Town,Too Few Ratings,60,SHOP - 1 ; EAST BLOCK 932/A/109 JESSORE ROAD; WARD NO-19; SOUTH DUM DUM MUNICIPALITY; North Twenty Four Parganas; West Bengal - 700089,Lake Town,['North Indian' 'Indian' 'South Indian' 'Snacks'],₹150 FOR TWO,,,
Mann-Ann,Lake Town,Too Few Ratings,57,P-6; Block A; Bangur Avenue; Kolkata; West Bengal 700055; India,Lake Town,['North Indian'],₹300 FOR TWO,,,
SP Chowrasia Pan Shop,Lake Town,20+ ratings,64,P1; Block B; Main Avenue; Bangur; Kolkata,Lake Town,['Paan'],₹100 FOR TWO,,,
