name,area,totalRatingsString,deliveryTime,address,locality,cuisines,costForTwoString,,,
The Sonnet,Bidhannagar,Too Few Ratings,53,The Sonnet; Dd 8; Sector 1; Salt Lake,Near ISL Hospital,['Indian' 'Chinese' 'Continental'],₹1200 FOR TWO,,,
Bhikharam Chandmal - Salt Lake,Bidhannagar,500+ ratings,38,DC/J/15 CITY CENTRE -1 SALTLAKE KOLKATA -64,Salt Lake,['Snacks' 'Sweets'],₹200 FOR TWO,,,
Koshe Kosha - Salt Lake,Sector 3,100+ ratings,50,Ground Floor; FE 18; Near Central Park; Sector 3; Salt Lake; Kolkata 700106,Sector 3,['Bengali'],₹500 FOR TWO,,,
Gangotri,Bidhannagar,100+ ratings,42,CF 334; Near Swimming Pool; Sector 1; Salt Lake; Kolkata,Sector 1,['Street Food' 'North Indian' 'South Indian'],₹300 FOR TWO,,,
Cafe Coffee Day,Cf 348 Salt Lake City,20+ ratings,41,Cf-348 Sector-1 Salt Lake Kolkata,Cf 348 Salt Lake City,['Beverages' 'Snacks' 'Desserts'],₹300 FOR TWO,,,
Sharma Tea(Salt Lake),Bidhannagar,500+ ratings,37,CF 209; Near Swimming Pool; Sector 1; Salt Lake ; Kolkata India,Sector 1,['Snacks'],₹100 FOR TWO,,,
Pizza Hut,Bidhannagar,100+ ratings,49,A-012 & A-105;DC BLOCK;CITY CENTRE MALL;SALTLAKE,CC1 (57),['Pizzas'],₹350 FOR TWO,,,
Kalpana Fast Food,Bidhannagar,50+ ratings,50,CE Local Market; Shop No--61. Saltlake Sector--1; Kolkata--700064,Sector II,['North Indian' 'Biryani'],₹200 FOR TWO,,,
Mama Mia! - Italian Ice Creams,Bidhannagar,100+ ratings,34,BJ-144; Salktlake; Sector-II; Bidhan Nagar; North 24 PGNS Kolkata-700091,Sector 1,['Ice Cream' 'Desserts' 'Bakery' 'Sweets' 'Beverages' 'Ice Cream Cakes'],₹200 FOR TWO,,,
The Scoop,Bidhannagar,50+ ratings,46,CF 121; Near Swimming Pool; Sector 1; Salt Lake; Kolkata,Sector 1,['North Indian' 'Chinese' 'South Indian'],₹400 FOR TWO,,,
Oh! Calcutta,Bidhannagar,100+ ratings,53,CF-326; SECTOR-1; GROUND FLOOR; SALTLAKE,Sector-1,['Bengali' 'Indian' 'Biryani'],₹800 FOR TWO,,,
POULAMI HOTEL AND ASSOCIATE,Salt Lake,Too Few Ratings,43,31; AJ SALT LAKE CITY; SEC-2;  BIDHANNAGAR; WARD NO- 029;  BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North  Twenty Four Parganas; West  Bengal; 700091,Salt Lake,['Beverages' 'Indian' 'Continental'],₹300 FOR TWO,,,
Kookie Jar,Bidhannagar,500+ ratings,37,Ground Floor; City Centre 1; Sector 1; Salt Lake,City Centre 1,['Desserts' 'Snacks' 'Bakery'],₹350 FOR TWO,,,
Keventers Ice Cream,SALT LAKE CITY,20+ ratings,36,BF-199; SALT LAKE CITY; SECTOR-1; Bidhannagar-Rajarhat Municipal corporation; North TwentyFour Pargans; West Bengal -700064,SALT LAKE CITY,['Ice Cream' 'Desserts'],₹300 FOR TWO,,,
Dariole,Bidhannagar,100+ ratings,38,Shop No 2 & 3; CF-326; Sector-1; Salt Lake; Kolkata 700064,Sector 1,['Bakery' 'Desserts'],₹150 FOR TWO,,,
Mallika,Bidhannagar,20+ ratings,46,FE 11; Near Central Park; Sector 3; Salt Lake,Salt Lake-Sector 3,['Street Food' 'Chinese' 'Tibetan'],₹600 FOR TWO,,,
Flurys,Bidhannagar,50+ ratings,37,CK 40; Sector 2; Salt Lake,CK block,['Bakery' 'Continental'],₹450 FOR TWO,,,
7th Heaven,Salt Lake,100+ ratings,47,BF-195; BF Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064; India,Salt Lake,['Bakery' 'Desserts' 'Snacks' 'Beverages' 'Waffle'],₹300 FOR TWO,,,
Desi Champaran Meat,Salt Lake,50+ ratings,50,FE-13; SALT LAKE CITY; GROUND FLOOR;  SECTOR--III; KOLKATA; WARD NO-16;  BIDHANNAGAR-RAJARHAT MUNICIPAL  CORPORATION; North Twenty Four  Parganas; West Bengal - 700106,Salt Lake,['North Indian' 'Indian' 'Tandoor' 'Desserts'],₹300 FOR TWO,,,
GLACE PATISSERIE,Bidhannagar,20+ ratings,52,CF 344; SECTOR 1; SALT LAKE CITY; KOLKATA  700064,Salt Lake,['Bakery' 'Desserts' 'Beverages'],₹200 FOR TWO,,,
Saptapadi,Bidhannagar,100+ ratings,37,CD- 22; Salt Lake- sector 1; Kolkata 700064,Salt Lake,['Bengali' 'Thalis'],₹500 FOR TWO,,,
healthy food fusion,Salt Lake,100+ ratings,45,Bf 90 salt lake sector 1,Salt Lake,['Healthy Food' 'Salads' 'Italian' 'Beverages'],₹300 FOR TWO,,,
Rang De Basanti Dhaba,Bidhannagar,1000+ ratings,44,DN 37; Sector 5; Salt Lake; Kolkata,kolkata,['North Indian' 'Kebabs' 'Mughlai' 'Biryani' 'Punjabi' 'Desserts' 'Tandoor' 'Indian' 'Snacks'],₹300 FOR TWO,,,
Starbucks Coffee,Bidhannagar,100+ ratings,43,Ground floor; City Centre Mall; DC Block Sector 1 Salt Lake Kolkata- 700064,City Centre one,['Beverages' 'Ice Cream'],₹400 FOR TWO,,,
The Steak & Grill,Bidhannagar,100+ ratings,46,FE-12; Sector 3; Salt Lake,Near Hit Wicket,['Continental' 'European'],₹1100 FOR TWO,,,
De Sovrani,Near City Centre 1 Petrol Pump,Too Few Ratings,50,DD 21; Sector 1; Salt Lake City; Kolkata,Near City Centre 1 Petrol Pump,['Indian' 'Chinese' 'Continental'],₹800 FOR TWO,,,
Down The Lane,Salt Lake,20+ ratings,46,CE 16; 3rd Cross Rd; CE Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064; India,Salt Lake,['Continental' 'Italian' 'Mexican'],₹800 FOR TWO,,,
Oye Balle Balle Dhaba,Near Central Park,100+ ratings,42,FE 16; Sector 3; Salt Lake City; Near Central Park,Near Central Park,['North Indian' 'Punjabi' 'Pan-Asian' 'Mughlai'],₹550 FOR TWO,,,
AGARWAL TEA AND SNACKS,Bidhannagar,20+ ratings,48,BG GREEN VERGE ( NEAR BG-1 ); SECTOR-2; SALT LAKE; KOLKATA-700091;BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty FourParganas (West Bengal); - 700091,Salt Lake,['Fast Food'],₹250 FOR TWO,,,
The Yellow Straw,Bidhannagar,500+ ratings,40,Shop No. 4; DC Block; Sector 1; Salt Lake; Beside City Centre Metro Station; Kolkata 700064,City Centre 1,['Juices' 'Salads' 'Healthy Food' 'Snacks' 'Desserts' 'Beverages' 'Ice Cream'],₹200 FOR TWO,,,
Gupta Brothers Salt Lake,Swimming Pool,500+ ratings,41,CF 203; Near Swimming Pool; Sector 1; Salt Lake; Kolkata,Sector 1,['Sweets'],₹100 FOR TWO,,,
